,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
7614,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1931,08
7615,SD,SOUTH DAKOTA,SMALLPOX,21,3.03,1931,08
7616,TN,TENNESSEE,SMALLPOX,1,0.04,1931,08
7617,TX,TEXAS,SMALLPOX,60,1.02,1931,08
7618,UT,UTAH,SMALLPOX,0,0.0,1931,08
7619,VT,VERMONT,SMALLPOX,0,0.0,1931,08
7620,WA,WASHINGTON,SMALLPOX,33,2.09,1931,08
7621,WI,WISCONSIN,SMALLPOX,6,0.2,1931,08
7622,WV,WEST VIRGINIA,SMALLPOX,4,0.23,1931,08
7623,WY,WYOMING,SMALLPOX,2,0.87,1931,08
7624,AL,ALABAMA,SMALLPOX,8,0.3,1931,09
7625,AR,ARKANSAS,SMALLPOX,41,2.22,1931,09
7626,AZ,ARIZONA,SMALLPOX,0,0.0,1931,09
7627,CA,CALIFORNIA,SMALLPOX,71,1.22,1931,09
7628,CO,COLORADO,SMALLPOX,11,1.04,1931,09
7629,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,09
7630,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,09
7631,DE,DELAWARE,SMALLPOX,0,0.0,1931,09
7632,FL,FLORIDA,SMALLPOX,2,0.13,1931,09
7633,GA,GEORGIA,SMALLPOX,0,0.0,1931,09
7634,IA,IOWA,SMALLPOX,75,3.02,1931,09
7635,ID,IDAHO,SMALLPOX,5,1.1,1931,09
7636,IL,ILLINOIS,SMALLPOX,36,0.47,1931,09
7637,IN,INDIANA,SMALLPOX,149,4.57,1931,09
7638,KS,KANSAS,SMALLPOX,75,3.99,1931,09
7639,KY,KENTUCKY,SMALLPOX,8,0.3,1931,09
7640,LA,LOUISIANA,SMALLPOX,23,1.08,1931,09
7641,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,09
7642,MD,MARYLAND,SMALLPOX,0,0.0,1931,09
7643,ME,MAINE,SMALLPOX,0,0.0,1931,09
7644,MI,MICHIGAN,SMALLPOX,19,0.4,1931,09
7645,MN,MINNESOTA,SMALLPOX,4,0.15,1931,09
7646,MO,MISSOURI,SMALLPOX,40,1.08,1931,09
7647,MS,MISSISSIPPI,SMALLPOX,27,1.35,1931,09
7648,MT,MONTANA,SMALLPOX,4,0.74,1931,09
7649,NC,NORTH CAROLINA,SMALLPOX,2,0.06,1931,09
7650,ND,NORTH DAKOTA,SMALLPOX,8,1.18,1931,09
7651,NE,NEBRASKA,SMALLPOX,60,4.34,1931,09
7652,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,09
7653,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,09
7654,NM,NEW MEXICO,SMALLPOX,7,1.61,1931,09
7655,NY,NEW YORK,SMALLPOX,11,0.09,1931,09
7656,OH,OHIO,SMALLPOX,51,0.76,1931,09
7657,OK,OKLAHOMA,SMALLPOX,66,2.75,1931,09
7658,OR,OREGON,SMALLPOX,33,3.42,1931,09
7659,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,09
7660,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,09
7661,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1931,09
7662,SD,SOUTH DAKOTA,SMALLPOX,19,2.74,1931,09
7663,TN,TENNESSEE,SMALLPOX,1,0.04,1931,09
7664,TX,TEXAS,SMALLPOX,55,0.93,1931,09
7665,UT,UTAH,SMALLPOX,2,0.39,1931,09
7666,VT,VERMONT,SMALLPOX,0,0.0,1931,09
7667,WA,WASHINGTON,SMALLPOX,25,1.58,1931,09
7668,WI,WISCONSIN,SMALLPOX,8,0.27,1931,09
7669,WV,WEST VIRGINIA,SMALLPOX,14,0.8,1931,09
7670,WY,WYOMING,SMALLPOX,2,0.87,1931,09
7671,AL,ALABAMA,SMALLPOX,33,1.25,1931,10
7672,AR,ARKANSAS,SMALLPOX,18,0.97,1931,10
7673,AZ,ARIZONA,SMALLPOX,0,0.0,1931,10
7674,CA,CALIFORNIA,SMALLPOX,46,0.79,1931,10
7675,CO,COLORADO,SMALLPOX,1,0.09,1931,10
7676,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,10
7677,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,10
7678,DE,DELAWARE,SMALLPOX,0,0.0,1931,10
7679,FL,FLORIDA,SMALLPOX,1,0.07,1931,10
7680,GA,GEORGIA,SMALLPOX,0,0.0,1931,10
7681,IA,IOWA,SMALLPOX,73,2.94,1931,10
7682,ID,IDAHO,SMALLPOX,0,0.0,1931,10
7683,IL,ILLINOIS,SMALLPOX,26,0.34,1931,10
7684,IN,INDIANA,SMALLPOX,104,3.19,1931,10
7685,KS,KANSAS,SMALLPOX,116,6.17,1931,10
7686,KY,KENTUCKY,SMALLPOX,15,0.57,1931,10
7687,LA,LOUISIANA,SMALLPOX,26,1.22,1931,10
7688,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,10
7689,MD,MARYLAND,SMALLPOX,0,0.0,1931,10
7690,ME,MAINE,SMALLPOX,0,0.0,1931,10
7691,MI,MICHIGAN,SMALLPOX,22,0.46,1931,10
7692,MN,MINNESOTA,SMALLPOX,7,0.27,1931,10
7693,MO,MISSOURI,SMALLPOX,45,1.21,1931,10
7694,MS,MISSISSIPPI,SMALLPOX,15,0.75,1931,10
7695,MT,MONTANA,SMALLPOX,2,0.37,1931,10
7696,NC,NORTH CAROLINA,SMALLPOX,1,0.03,1931,10
7697,ND,NORTH DAKOTA,SMALLPOX,11,1.62,1931,10
7698,NE,NEBRASKA,SMALLPOX,33,2.38,1931,10
7699,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,10
7700,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,10
7701,NM,NEW MEXICO,SMALLPOX,3,0.69,1931,10
7702,NY,NEW YORK,SMALLPOX,11,0.09,1931,10
7703,OH,OHIO,SMALLPOX,42,0.63,1931,10
7704,OK,OKLAHOMA,SMALLPOX,74,3.08,1931,10
7705,OR,OREGON,SMALLPOX,18,1.86,1931,10
7706,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,10
7707,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,10
7708,SC,SOUTH CAROLINA,SMALLPOX,3,0.17,1931,10
7709,SD,SOUTH DAKOTA,SMALLPOX,32,4.61,1931,10
7710,TN,TENNESSEE,SMALLPOX,0,0.0,1931,10
7711,TX,TEXAS,SMALLPOX,56,0.95,1931,10
7712,UT,UTAH,SMALLPOX,4,0.78,1931,10
7713,VT,VERMONT,SMALLPOX,0,0.0,1931,10
7714,WA,WASHINGTON,SMALLPOX,37,2.34,1931,10
7715,WI,WISCONSIN,SMALLPOX,4,0.13,1931,10
7716,WV,WEST VIRGINIA,SMALLPOX,10,0.57,1931,10
7717,WY,WYOMING,SMALLPOX,5,2.18,1931,10
7718,AL,ALABAMA,SMALLPOX,8,0.3,1931,11
7719,AR,ARKANSAS,SMALLPOX,22,1.19,1931,11
7720,AZ,ARIZONA,SMALLPOX,9,2.1,1931,11
7721,CA,CALIFORNIA,SMALLPOX,32,0.55,1931,11
7722,CO,COLORADO,SMALLPOX,3,0.28,1931,11
7723,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,11
7724,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,11
7725,DE,DELAWARE,SMALLPOX,0,0.0,1931,11
7726,FL,FLORIDA,SMALLPOX,0,0.0,1931,11
7727,GA,GEORGIA,SMALLPOX,0,0.0,1931,11
7728,IA,IOWA,SMALLPOX,80,3.22,1931,11
7729,ID,IDAHO,SMALLPOX,1,0.22,1931,11
7730,IL,ILLINOIS,SMALLPOX,39,0.51,1931,11
7731,IN,INDIANA,SMALLPOX,119,3.65,1931,11
7732,KS,KANSAS,SMALLPOX,106,5.64,1931,11
7733,KY,KENTUCKY,SMALLPOX,14,0.53,1931,11
7734,LA,LOUISIANA,SMALLPOX,24,1.13,1931,11
7735,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,11
7736,MD,MARYLAND,SMALLPOX,0,0.0,1931,11
7737,ME,MAINE,SMALLPOX,0,0.0,1931,11
7738,MI,MICHIGAN,SMALLPOX,20,0.42,1931,11
7739,MN,MINNESOTA,SMALLPOX,5,0.19,1931,11
7740,MO,MISSOURI,SMALLPOX,55,1.48,1931,11
7741,MS,MISSISSIPPI,SMALLPOX,24,1.2,1931,11
7742,MT,MONTANA,SMALLPOX,6,1.11,1931,11
7743,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1931,11
7744,ND,NORTH DAKOTA,SMALLPOX,4,0.59,1931,11
7745,NE,NEBRASKA,SMALLPOX,82,5.92,1931,11
7746,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,11
7747,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,11
7748,NM,NEW MEXICO,SMALLPOX,4,0.92,1931,11
7749,NY,NEW YORK,SMALLPOX,1,0.01,1931,11
7750,OH,OHIO,SMALLPOX,46,0.69,1931,11
7751,OK,OKLAHOMA,SMALLPOX,62,2.58,1931,11
7752,OR,OREGON,SMALLPOX,43,4.45,1931,11
7753,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,11
7754,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,11
7755,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1931,11
7756,SD,SOUTH DAKOTA,SMALLPOX,27,3.89,1931,11
7757,TN,TENNESSEE,SMALLPOX,16,0.6,1931,11
7758,TX,TEXAS,SMALLPOX,54,0.91,1931,11
7759,UT,UTAH,SMALLPOX,1,0.19,1931,11
7760,VT,VERMONT,SMALLPOX,0,0.0,1931,11
7761,WA,WASHINGTON,SMALLPOX,57,3.61,1931,11
7762,WI,WISCONSIN,SMALLPOX,6,0.2,1931,11
7763,WV,WEST VIRGINIA,SMALLPOX,11,0.63,1931,11
7764,WY,WYOMING,SMALLPOX,4,1.75,1931,11
7765,AL,ALABAMA,SMALLPOX,8,0.3,1931,12
7766,AR,ARKANSAS,SMALLPOX,26,1.41,1931,12
7767,AZ,ARIZONA,SMALLPOX,0,0.0,1931,12
7768,CA,CALIFORNIA,SMALLPOX,46,0.79,1931,12
7769,CO,COLORADO,SMALLPOX,7,0.66,1931,12
7770,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,12
7771,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,12
7772,DE,DELAWARE,SMALLPOX,0,0.0,1931,12
7773,FL,FLORIDA,SMALLPOX,3,0.2,1931,12
7774,GA,GEORGIA,SMALLPOX,0,0.0,1931,12
7775,IA,IOWA,SMALLPOX,70,2.82,1931,12
7776,ID,IDAHO,SMALLPOX,1,0.22,1931,12
7777,IL,ILLINOIS,SMALLPOX,37,0.48,1931,12
7778,IN,INDIANA,SMALLPOX,75,2.3,1931,12
7779,KS,KANSAS,SMALLPOX,112,5.95,1931,12
7780,KY,KENTUCKY,SMALLPOX,10,0.38,1931,12
7781,LA,LOUISIANA,SMALLPOX,26,1.22,1931,12
7782,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,12
7783,MD,MARYLAND,SMALLPOX,0,0.0,1931,12
7784,ME,MAINE,SMALLPOX,0,0.0,1931,12
7785,MI,MICHIGAN,SMALLPOX,18,0.38,1931,12
7786,MN,MINNESOTA,SMALLPOX,14,0.54,1931,12
7787,MO,MISSOURI,SMALLPOX,51,1.37,1931,12
7788,MS,MISSISSIPPI,SMALLPOX,38,1.91,1931,12
7789,MT,MONTANA,SMALLPOX,6,1.11,1931,12
7790,NC,NORTH CAROLINA,SMALLPOX,1,0.03,1931,12
7791,ND,NORTH DAKOTA,SMALLPOX,8,1.18,1931,12
7792,NE,NEBRASKA,SMALLPOX,49,3.54,1931,12
7793,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,12
7794,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,12
7795,NM,NEW MEXICO,SMALLPOX,0,0.0,1931,12
7796,NY,NEW YORK,SMALLPOX,13,0.1,1931,12
7797,OH,OHIO,SMALLPOX,80,1.2,1931,12
7798,OK,OKLAHOMA,SMALLPOX,52,2.16,1931,12
7799,OR,OREGON,SMALLPOX,16,1.66,1931,12
7800,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,12
7801,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,12
7802,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1931,12
7803,SD,SOUTH DAKOTA,SMALLPOX,14,2.02,1931,12
7804,TN,TENNESSEE,SMALLPOX,33,1.24,1931,12
7805,TX,TEXAS,SMALLPOX,45,0.76,1931,12
7806,UT,UTAH,SMALLPOX,0,0.0,1931,12
7807,VT,VERMONT,SMALLPOX,0,0.0,1931,12
7808,WA,WASHINGTON,SMALLPOX,25,1.58,1931,12
7809,WI,WISCONSIN,SMALLPOX,9,0.3,1931,12
7810,WV,WEST VIRGINIA,SMALLPOX,12,0.69,1931,12
7811,WY,WYOMING,SMALLPOX,4,1.75,1931,12
7812,AL,ALABAMA,SMALLPOX,11,0.42,1931,13
7813,AR,ARKANSAS,SMALLPOX,14,0.76,1931,13
7814,AZ,ARIZONA,SMALLPOX,1,0.23,1931,13
7815,CA,CALIFORNIA,SMALLPOX,26,0.45,1931,13
7816,CO,COLORADO,SMALLPOX,0,0.0,1931,13
7817,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,13
7818,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,13
7819,DE,DELAWARE,SMALLPOX,0,0.0,1931,13
7820,FL,FLORIDA,SMALLPOX,2,0.13,1931,13
7821,GA,GEORGIA,SMALLPOX,0,0.0,1931,13
7822,IA,IOWA,SMALLPOX,63,2.54,1931,13
7823,ID,IDAHO,SMALLPOX,1,0.22,1931,13
7824,IL,ILLINOIS,SMALLPOX,60,0.78,1931,13
7825,IN,INDIANA,SMALLPOX,111,3.41,1931,13
7826,KS,KANSAS,SMALLPOX,124,6.59,1931,13
7827,KY,KENTUCKY,SMALLPOX,3,0.11,1931,13
7828,LA,LOUISIANA,SMALLPOX,28,1.32,1931,13
7829,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,13
7830,MD,MARYLAND,SMALLPOX,0,0.0,1931,13
7831,ME,MAINE,SMALLPOX,0,0.0,1931,13
7832,MI,MICHIGAN,SMALLPOX,9,0.19,1931,13
7833,MN,MINNESOTA,SMALLPOX,1,0.04,1931,13
7834,MO,MISSOURI,SMALLPOX,31,0.84,1931,13
7835,MS,MISSISSIPPI,SMALLPOX,92,4.61,1931,13
7836,MT,MONTANA,SMALLPOX,3,0.56,1931,13
7837,NC,NORTH CAROLINA,SMALLPOX,2,0.06,1931,13
7838,ND,NORTH DAKOTA,SMALLPOX,7,1.03,1931,13
7839,NE,NEBRASKA,SMALLPOX,46,3.32,1931,13
7840,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,13
7841,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,13
7842,NM,NEW MEXICO,SMALLPOX,4,0.92,1931,13
7843,NY,NEW YORK,SMALLPOX,3,0.02,1931,13
7844,OH,OHIO,SMALLPOX,90,1.34,1931,13
7845,OK,OKLAHOMA,SMALLPOX,113,4.7,1931,13
7846,OR,OREGON,SMALLPOX,25,2.59,1931,13
7847,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,13
7848,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,13
7849,SC,SOUTH CAROLINA,SMALLPOX,6,0.34,1931,13
7850,SD,SOUTH DAKOTA,SMALLPOX,17,2.45,1931,13
7851,TN,TENNESSEE,SMALLPOX,4,0.15,1931,13
7852,TX,TEXAS,SMALLPOX,39,0.66,1931,13
7853,UT,UTAH,SMALLPOX,0,0.0,1931,13
7854,VT,VERMONT,SMALLPOX,0,0.0,1931,13
7855,WA,WASHINGTON,SMALLPOX,46,2.91,1931,13
7856,WI,WISCONSIN,SMALLPOX,3,0.1,1931,13
7857,WV,WEST VIRGINIA,SMALLPOX,22,1.26,1931,13
7858,WY,WYOMING,SMALLPOX,1,0.44,1931,13
7859,AL,ALABAMA,SMALLPOX,16,0.6,1931,14
7860,AR,ARKANSAS,SMALLPOX,39,2.11,1931,14
7861,AZ,ARIZONA,SMALLPOX,1,0.23,1931,14
7862,CA,CALIFORNIA,SMALLPOX,42,0.72,1931,14
7863,CO,COLORADO,SMALLPOX,5,0.47,1931,14
7864,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,14
7865,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,14
7866,DE,DELAWARE,SMALLPOX,0,0.0,1931,14
7867,FL,FLORIDA,SMALLPOX,1,0.07,1931,14
7868,GA,GEORGIA,SMALLPOX,0,0.0,1931,14
7869,IA,IOWA,SMALLPOX,73,2.94,1931,14
7870,ID,IDAHO,SMALLPOX,4,0.88,1931,14
7871,IL,ILLINOIS,SMALLPOX,62,0.81,1931,14
7872,IN,INDIANA,SMALLPOX,91,2.79,1931,14
7873,KS,KANSAS,SMALLPOX,116,6.17,1931,14
7874,KY,KENTUCKY,SMALLPOX,33,1.24,1931,14
7875,LA,LOUISIANA,SMALLPOX,40,1.88,1931,14
7876,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,14
7877,MD,MARYLAND,SMALLPOX,0,0.0,1931,14
7878,ME,MAINE,SMALLPOX,0,0.0,1931,14
7879,MI,MICHIGAN,SMALLPOX,31,0.65,1931,14
7880,MN,MINNESOTA,SMALLPOX,6,0.23,1931,14
7881,MO,MISSOURI,SMALLPOX,30,0.81,1931,14
7882,MS,MISSISSIPPI,SMALLPOX,64,3.21,1931,14
7883,MT,MONTANA,SMALLPOX,6,1.11,1931,14
7884,NC,NORTH CAROLINA,SMALLPOX,2,0.06,1931,14
7885,ND,NORTH DAKOTA,SMALLPOX,14,2.06,1931,14
7886,NE,NEBRASKA,SMALLPOX,48,3.47,1931,14
7887,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,14
7888,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,14
7889,NM,NEW MEXICO,SMALLPOX,0,0.0,1931,14
7890,NY,NEW YORK,SMALLPOX,5,0.04,1931,14
7891,OH,OHIO,SMALLPOX,78,1.17,1931,14
7892,OK,OKLAHOMA,SMALLPOX,95,3.95,1931,14
7893,OR,OREGON,SMALLPOX,21,2.17,1931,14
7894,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,14
7895,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,14
7896,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1931,14
7897,SD,SOUTH DAKOTA,SMALLPOX,19,2.74,1931,14
7898,TN,TENNESSEE,SMALLPOX,9,0.34,1931,14
7899,TX,TEXAS,SMALLPOX,40,0.68,1931,14
7900,UT,UTAH,SMALLPOX,0,0.0,1931,14
7901,VT,VERMONT,SMALLPOX,1,0.28,1931,14
7902,WA,WASHINGTON,SMALLPOX,51,3.23,1931,14
7903,WI,WISCONSIN,SMALLPOX,5,0.17,1931,14
7904,WV,WEST VIRGINIA,SMALLPOX,2,0.11,1931,14
7905,WY,WYOMING,SMALLPOX,1,0.44,1931,14
7906,AL,ALABAMA,SMALLPOX,25,0.94,1931,15
7907,AR,ARKANSAS,SMALLPOX,33,1.79,1931,15
7908,AZ,ARIZONA,SMALLPOX,3,0.7,1931,15
7909,CA,CALIFORNIA,SMALLPOX,53,0.91,1931,15
7910,CO,COLORADO,SMALLPOX,2,0.19,1931,15
7911,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,15
7912,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,15
7913,DE,DELAWARE,SMALLPOX,0,0.0,1931,15
7914,FL,FLORIDA,SMALLPOX,0,0.0,1931,15
7915,GA,GEORGIA,SMALLPOX,0,0.0,1931,15
7916,IA,IOWA,SMALLPOX,81,3.26,1931,15
7917,ID,IDAHO,SMALLPOX,2,0.44,1931,15
7918,IL,ILLINOIS,SMALLPOX,58,0.75,1931,15
7919,IN,INDIANA,SMALLPOX,109,3.35,1931,15
7920,KS,KANSAS,SMALLPOX,93,4.94,1931,15
7921,KY,KENTUCKY,SMALLPOX,2,0.08,1931,15
7922,LA,LOUISIANA,SMALLPOX,33,1.55,1931,15
7923,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,15
7924,MD,MARYLAND,SMALLPOX,0,0.0,1931,15
7925,ME,MAINE,SMALLPOX,0,0.0,1931,15
7926,MI,MICHIGAN,SMALLPOX,14,0.29,1931,15
7927,MN,MINNESOTA,SMALLPOX,3,0.11,1931,15
7928,MO,MISSOURI,SMALLPOX,56,1.51,1931,15
7929,MS,MISSISSIPPI,SMALLPOX,66,3.31,1931,15
7930,MT,MONTANA,SMALLPOX,3,0.56,1931,15
7931,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1931,15
7932,ND,NORTH DAKOTA,SMALLPOX,12,1.76,1931,15
7933,NE,NEBRASKA,SMALLPOX,21,1.52,1931,15
7934,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,15
7935,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,15
7936,NM,NEW MEXICO,SMALLPOX,4,0.92,1931,15
7937,NY,NEW YORK,SMALLPOX,4,0.03,1931,15
7938,OH,OHIO,SMALLPOX,83,1.24,1931,15
7939,OK,OKLAHOMA,SMALLPOX,136,5.66,1931,15
7940,OR,OREGON,SMALLPOX,20,2.07,1931,15
7941,PA,PENNSYLVANIA,SMALLPOX,1,0.01,1931,15
7942,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,15
7943,SC,SOUTH CAROLINA,SMALLPOX,4,0.23,1931,15
7944,SD,SOUTH DAKOTA,SMALLPOX,14,2.02,1931,15
7945,TN,TENNESSEE,SMALLPOX,8,0.3,1931,15
7946,TX,TEXAS,SMALLPOX,37,0.63,1931,15
7947,UT,UTAH,SMALLPOX,0,0.0,1931,15
7948,VT,VERMONT,SMALLPOX,0,0.0,1931,15
7949,WA,WASHINGTON,SMALLPOX,0,0.0,1931,15
7950,WI,WISCONSIN,SMALLPOX,29,0.97,1931,15
7951,WV,WEST VIRGINIA,SMALLPOX,4,0.23,1931,15
7952,WY,WYOMING,SMALLPOX,7,3.06,1931,15
7953,AL,ALABAMA,SMALLPOX,4,0.15,1931,16
7954,AR,ARKANSAS,SMALLPOX,51,2.76,1931,16
7955,AZ,ARIZONA,SMALLPOX,0,0.0,1931,16
7956,CA,CALIFORNIA,SMALLPOX,46,0.79,1931,16
7957,CO,COLORADO,SMALLPOX,2,0.19,1931,16
7958,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,16
7959,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,16
7960,DE,DELAWARE,SMALLPOX,0,0.0,1931,16
7961,FL,FLORIDA,SMALLPOX,0,0.0,1931,16
7962,GA,GEORGIA,SMALLPOX,0,0.0,1931,16
7963,IA,IOWA,SMALLPOX,81,3.26,1931,16
7964,ID,IDAHO,SMALLPOX,1,0.22,1931,16
7965,IL,ILLINOIS,SMALLPOX,38,0.49,1931,16
7966,IN,INDIANA,SMALLPOX,125,3.84,1931,16
7967,KS,KANSAS,SMALLPOX,136,7.23,1931,16
7968,KY,KENTUCKY,SMALLPOX,14,0.53,1931,16
7969,LA,LOUISIANA,SMALLPOX,36,1.69,1931,16
7970,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,16
7971,MD,MARYLAND,SMALLPOX,0,0.0,1931,16
7972,ME,MAINE,SMALLPOX,0,0.0,1931,16
7973,MI,MICHIGAN,SMALLPOX,39,0.81,1931,16
7974,MN,MINNESOTA,SMALLPOX,5,0.19,1931,16
7975,MO,MISSOURI,SMALLPOX,30,0.81,1931,16
7976,MS,MISSISSIPPI,SMALLPOX,51,2.56,1931,16
7977,MT,MONTANA,SMALLPOX,2,0.37,1931,16
7978,NC,NORTH CAROLINA,SMALLPOX,3,0.09,1931,16
7979,ND,NORTH DAKOTA,SMALLPOX,2,0.29,1931,16
7980,NE,NEBRASKA,SMALLPOX,24,1.73,1931,16
7981,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,16
7982,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,16
7983,NM,NEW MEXICO,SMALLPOX,1,0.23,1931,16
7984,NY,NEW YORK,SMALLPOX,2,0.02,1931,16
7985,OH,OHIO,SMALLPOX,43,0.64,1931,16
7986,OK,OKLAHOMA,SMALLPOX,60,2.5,1931,16
7987,OR,OREGON,SMALLPOX,33,3.42,1931,16
7988,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1931,16
7989,RI,RHODE ISLAND,SMALLPOX,0,0.0,1931,16
7990,SC,SOUTH CAROLINA,SMALLPOX,3,0.17,1931,16
7991,SD,SOUTH DAKOTA,SMALLPOX,32,4.61,1931,16
7992,TN,TENNESSEE,SMALLPOX,17,0.64,1931,16
7993,TX,TEXAS,SMALLPOX,54,0.91,1931,16
7994,UT,UTAH,SMALLPOX,0,0.0,1931,16
7995,VT,VERMONT,SMALLPOX,0,0.0,1931,16
7996,WA,WASHINGTON,SMALLPOX,23,1.45,1931,16
7997,WI,WISCONSIN,SMALLPOX,24,0.8,1931,16
7998,WV,WEST VIRGINIA,SMALLPOX,5,0.29,1931,16
7999,WY,WYOMING,SMALLPOX,2,0.87,1931,16
8000,AL,ALABAMA,SMALLPOX,27,1.02,1931,17
8001,AR,ARKANSAS,SMALLPOX,7,0.38,1931,17
8002,AZ,ARIZONA,SMALLPOX,1,0.23,1931,17
8003,CA,CALIFORNIA,SMALLPOX,45,0.77,1931,17
8004,CO,COLORADO,SMALLPOX,3,0.28,1931,17
8005,CT,CONNECTICUT,SMALLPOX,0,0.0,1931,17
8006,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1931,17
8007,DE,DELAWARE,SMALLPOX,0,0.0,1931,17
8008,FL,FLORIDA,SMALLPOX,1,0.07,1931,17
8009,GA,GEORGIA,SMALLPOX,0,0.0,1931,17
8010,IA,IOWA,SMALLPOX,66,2.66,1931,17
8011,ID,IDAHO,SMALLPOX,3,0.66,1931,17
8012,IL,ILLINOIS,SMALLPOX,79,1.03,1931,17
8013,IN,INDIANA,SMALLPOX,72,2.21,1931,17
8014,KS,KANSAS,SMALLPOX,118,6.27,1931,17
8015,KY,KENTUCKY,SMALLPOX,5,0.19,1931,17
8016,LA,LOUISIANA,SMALLPOX,39,1.84,1931,17
8017,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1931,17
8018,MD,MARYLAND,SMALLPOX,0,0.0,1931,17
8019,ME,MAINE,SMALLPOX,0,0.0,1931,17
8020,MI,MICHIGAN,SMALLPOX,12,0.25,1931,17
8021,MN,MINNESOTA,SMALLPOX,12,0.46,1931,17
8022,MO,MISSOURI,SMALLPOX,39,1.05,1931,17
8023,MS,MISSISSIPPI,SMALLPOX,54,2.71,1931,17
8024,MT,MONTANA,SMALLPOX,3,0.56,1931,17
8025,NC,NORTH CAROLINA,SMALLPOX,1,0.03,1931,17
8026,ND,NORTH DAKOTA,SMALLPOX,2,0.29,1931,17
8027,NE,NEBRASKA,SMALLPOX,66,4.77,1931,17
8028,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1931,17
8029,NJ,NEW JERSEY,SMALLPOX,0,0.0,1931,17
8030,NM,NEW MEXICO,SMALLPOX,0,0.0,1931,17
8031,NY,NEW YORK,SMALLPOX,3,0.02,1931,17
8032,OH,OHIO,SMALLPOX,90,1.34,1931,17
8033,OK,OKLAHOMA,SMALLPOX,75,3.12,1931,17
