,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
9522,MI,MICHIGAN,RUBELLA,53,0.59,1971,06
9523,MN,MINNESOTA,RUBELLA,1,0.03,1971,06
9524,MO,MISSOURI,RUBELLA,11,0.23,1971,06
9525,MS,MISSISSIPPI,RUBELLA,34,1.47,1971,06
9526,MT,MONTANA,RUBELLA,5,0.7,1971,06
9527,NC,NORTH CAROLINA,RUBELLA,1,0.02,1971,06
9528,ND,NORTH DAKOTA,RUBELLA,1,0.16,1971,06
9529,NE,NEBRASKA,RUBELLA,1,0.07,1971,06
9530,NH,NEW HAMPSHIRE,RUBELLA,3,0.38,1971,06
9531,NJ,NEW JERSEY,RUBELLA,11,0.15,1971,06
9532,NM,NEW MEXICO,RUBELLA,8,0.74,1971,06
9533,NY,NEW YORK,RUBELLA,18,0.1,1971,06
9534,OH,OHIO,RUBELLA,130,1.21,1971,06
9535,OK,OKLAHOMA,RUBELLA,1,0.04,1971,06
9536,OR,OREGON,RUBELLA,21,0.96,1971,06
9537,PA,PENNSYLVANIA,RUBELLA,4,0.03,1971,06
9538,RI,RHODE ISLAND,RUBELLA,1,0.1,1971,06
9539,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1971,06
9540,SD,SOUTH DAKOTA,RUBELLA,5,0.74,1971,06
9541,TN,TENNESSEE,RUBELLA,24,0.59,1971,06
9542,TX,TEXAS,RUBELLA,41,0.35,1971,06
9543,UT,UTAH,RUBELLA,0,0.0,1971,06
9544,VA,VIRGINIA,RUBELLA,8,0.17,1971,06
9545,VT,VERMONT,RUBELLA,0,0.0,1971,06
9546,WA,WASHINGTON,RUBELLA,34,0.99,1971,06
9547,WI,WISCONSIN,RUBELLA,31,0.69,1971,06
9548,WV,WEST VIRGINIA,RUBELLA,9,0.5,1971,06
9549,AK,ALASKA,RUBELLA,1,0.31,1971,07
9550,AL,ALABAMA,RUBELLA,7,0.2,1971,07
9551,AR,ARKANSAS,RUBELLA,2,0.1,1971,07
9552,AZ,ARIZONA,RUBELLA,4,0.2,1971,07
9553,CA,CALIFORNIA,RUBELLA,181,0.88,1971,07
9554,CO,COLORADO,RUBELLA,5,0.21,1971,07
9555,CT,CONNECTICUT,RUBELLA,4,0.13,1971,07
9556,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,07
9557,DE,DELAWARE,RUBELLA,2,0.35,1971,07
9558,FL,FLORIDA,RUBELLA,126,1.68,1971,07
9559,HI,HAWAII,RUBELLA,9,1.09,1971,07
9560,IA,IOWA,RUBELLA,13,0.45,1971,07
9561,ID,IDAHO,RUBELLA,1,0.13,1971,07
9562,IL,ILLINOIS,RUBELLA,38,0.34,1971,07
9563,IN,INDIANA,RUBELLA,30,0.57,1971,07
9564,KS,KANSAS,RUBELLA,56,2.48,1971,07
9565,KY,KENTUCKY,RUBELLA,38,1.14,1971,07
9566,LA,LOUISIANA,RUBELLA,6,0.16,1971,07
9567,MA,MASSACHUSETTS,RUBELLA,15,0.26,1971,07
9568,MD,MARYLAND,RUBELLA,2,0.05,1971,07
9569,ME,MAINE,RUBELLA,9,0.87,1971,07
9570,MI,MICHIGAN,RUBELLA,38,0.42,1971,07
9571,MN,MINNESOTA,RUBELLA,7,0.18,1971,07
9572,MO,MISSOURI,RUBELLA,3,0.06,1971,07
9573,MS,MISSISSIPPI,RUBELLA,0,0.0,1971,07
9574,MT,MONTANA,RUBELLA,4,0.56,1971,07
9575,NC,NORTH CAROLINA,RUBELLA,1,0.02,1971,07
9576,ND,NORTH DAKOTA,RUBELLA,4,0.63,1971,07
9577,NE,NEBRASKA,RUBELLA,3,0.2,1971,07
9578,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1971,07
9579,NJ,NEW JERSEY,RUBELLA,5,0.07,1971,07
9580,NM,NEW MEXICO,RUBELLA,11,1.02,1971,07
9581,NY,NEW YORK,RUBELLA,22,0.12,1971,07
9582,OH,OHIO,RUBELLA,25,0.23,1971,07
9583,OK,OKLAHOMA,RUBELLA,3,0.11,1971,07
9584,OR,OREGON,RUBELLA,15,0.68,1971,07
9585,PA,PENNSYLVANIA,RUBELLA,48,0.4,1971,07
9586,RI,RHODE ISLAND,RUBELLA,0,0.0,1971,07
9587,SC,SOUTH CAROLINA,RUBELLA,36,1.32,1971,07
9588,SD,SOUTH DAKOTA,RUBELLA,1,0.15,1971,07
9589,TN,TENNESSEE,RUBELLA,57,1.39,1971,07
9590,TX,TEXAS,RUBELLA,169,1.44,1971,07
9591,UT,UTAH,RUBELLA,1,0.09,1971,07
9592,VA,VIRGINIA,RUBELLA,21,0.44,1971,07
9593,VT,VERMONT,RUBELLA,0,0.0,1971,07
9594,WA,WASHINGTON,RUBELLA,42,1.22,1971,07
9595,WI,WISCONSIN,RUBELLA,19,0.42,1971,07
9596,WV,WEST VIRGINIA,RUBELLA,14,0.78,1971,07
9597,WY,WYOMING,RUBELLA,500,143.95,1971,07
9598,AK,ALASKA,RUBELLA,6,1.85,1971,08
9599,AL,ALABAMA,RUBELLA,2,0.06,1971,08
9600,AR,ARKANSAS,RUBELLA,2,0.1,1971,08
9601,AZ,ARIZONA,RUBELLA,11,0.55,1971,08
9602,CA,CALIFORNIA,RUBELLA,187,0.91,1971,08
9603,CO,COLORADO,RUBELLA,27,1.12,1971,08
9604,CT,CONNECTICUT,RUBELLA,14,0.46,1971,08
9605,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,08
9606,DE,DELAWARE,RUBELLA,0,0.0,1971,08
9607,FL,FLORIDA,RUBELLA,29,0.39,1971,08
9608,HI,HAWAII,RUBELLA,4,0.48,1971,08
9609,IA,IOWA,RUBELLA,6,0.21,1971,08
9610,ID,IDAHO,RUBELLA,0,0.0,1971,08
9611,IL,ILLINOIS,RUBELLA,40,0.36,1971,08
9612,IN,INDIANA,RUBELLA,37,0.7,1971,08
9613,KS,KANSAS,RUBELLA,0,0.0,1971,08
9614,KY,KENTUCKY,RUBELLA,194,5.82,1971,08
9615,LA,LOUISIANA,RUBELLA,2,0.05,1971,08
9616,MA,MASSACHUSETTS,RUBELLA,28,0.49,1971,08
9617,MD,MARYLAND,RUBELLA,0,0.0,1971,08
9618,ME,MAINE,RUBELLA,12,1.16,1971,08
9619,MI,MICHIGAN,RUBELLA,134,1.48,1971,08
9620,MN,MINNESOTA,RUBELLA,31,0.8,1971,08
9621,MO,MISSOURI,RUBELLA,4,0.08,1971,08
9622,MS,MISSISSIPPI,RUBELLA,0,0.0,1971,08
9623,MT,MONTANA,RUBELLA,3,0.42,1971,08
9624,NC,NORTH CAROLINA,RUBELLA,1,0.02,1971,08
9625,ND,NORTH DAKOTA,RUBELLA,0,0.0,1971,08
9626,NE,NEBRASKA,RUBELLA,1,0.07,1971,08
9627,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1971,08
9628,NJ,NEW JERSEY,RUBELLA,7,0.1,1971,08
9629,NM,NEW MEXICO,RUBELLA,0,0.0,1971,08
9630,NY,NEW YORK,RUBELLA,18,0.1,1971,08
9631,OH,OHIO,RUBELLA,17,0.16,1971,08
9632,OK,OKLAHOMA,RUBELLA,3,0.11,1971,08
9633,OR,OREGON,RUBELLA,34,1.55,1971,08
9634,PA,PENNSYLVANIA,RUBELLA,31,0.26,1971,08
9635,RI,RHODE ISLAND,RUBELLA,4,0.41,1971,08
9636,SC,SOUTH CAROLINA,RUBELLA,33,1.21,1971,08
9637,SD,SOUTH DAKOTA,RUBELLA,0,0.0,1971,08
9638,TN,TENNESSEE,RUBELLA,40,0.98,1971,08
9639,TX,TEXAS,RUBELLA,232,1.97,1971,08
9640,UT,UTAH,RUBELLA,0,0.0,1971,08
9641,VA,VIRGINIA,RUBELLA,8,0.17,1971,08
9642,VT,VERMONT,RUBELLA,1,0.22,1971,08
9643,WA,WASHINGTON,RUBELLA,49,1.42,1971,08
9644,WI,WISCONSIN,RUBELLA,43,0.96,1971,08
9645,WV,WEST VIRGINIA,RUBELLA,16,0.89,1971,08
9646,WY,WYOMING,RUBELLA,50,14.39,1971,08
9647,AK,ALASKA,RUBELLA,7,2.16,1971,09
9648,AL,ALABAMA,RUBELLA,5,0.14,1971,09
9649,AR,ARKANSAS,RUBELLA,2,0.1,1971,09
9650,AZ,ARIZONA,RUBELLA,11,0.55,1971,09
9651,CA,CALIFORNIA,RUBELLA,373,1.81,1971,09
9652,CO,COLORADO,RUBELLA,5,0.21,1971,09
9653,CT,CONNECTICUT,RUBELLA,6,0.2,1971,09
9654,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,09
9655,DE,DELAWARE,RUBELLA,0,0.0,1971,09
9656,FL,FLORIDA,RUBELLA,16,0.21,1971,09
9657,HI,HAWAII,RUBELLA,4,0.48,1971,09
9658,IA,IOWA,RUBELLA,38,1.33,1971,09
9659,ID,IDAHO,RUBELLA,1,0.13,1971,09
9660,IL,ILLINOIS,RUBELLA,53,0.47,1971,09
9661,IN,INDIANA,RUBELLA,62,1.17,1971,09
9662,KS,KANSAS,RUBELLA,0,0.0,1971,09
9663,KY,KENTUCKY,RUBELLA,42,1.26,1971,09
9664,LA,LOUISIANA,RUBELLA,0,0.0,1971,09
9665,MA,MASSACHUSETTS,RUBELLA,32,0.56,1971,09
9666,MD,MARYLAND,RUBELLA,9,0.22,1971,09
9667,ME,MAINE,RUBELLA,9,0.87,1971,09
9668,MI,MICHIGAN,RUBELLA,79,0.87,1971,09
9669,MN,MINNESOTA,RUBELLA,4,0.1,1971,09
9670,MO,MISSOURI,RUBELLA,3,0.06,1971,09
9671,MS,MISSISSIPPI,RUBELLA,0,0.0,1971,09
9672,MT,MONTANA,RUBELLA,4,0.56,1971,09
9673,NC,NORTH CAROLINA,RUBELLA,2,0.04,1971,09
9674,ND,NORTH DAKOTA,RUBELLA,0,0.0,1971,09
9675,NE,NEBRASKA,RUBELLA,4,0.26,1971,09
9676,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1971,09
9677,NJ,NEW JERSEY,RUBELLA,24,0.33,1971,09
9678,NM,NEW MEXICO,RUBELLA,4,0.37,1971,09
9679,NY,NEW YORK,RUBELLA,38,0.21,1971,09
9680,OH,OHIO,RUBELLA,31,0.29,1971,09
9681,OK,OKLAHOMA,RUBELLA,1,0.04,1971,09
9682,OR,OREGON,RUBELLA,38,1.73,1971,09
9683,PA,PENNSYLVANIA,RUBELLA,40,0.34,1971,09
9684,RI,RHODE ISLAND,RUBELLA,4,0.41,1971,09
9685,SC,SOUTH CAROLINA,RUBELLA,4,0.15,1971,09
9686,SD,SOUTH DAKOTA,RUBELLA,0,0.0,1971,09
9687,TN,TENNESSEE,RUBELLA,65,1.59,1971,09
9688,TX,TEXAS,RUBELLA,381,3.24,1971,09
9689,UT,UTAH,RUBELLA,1,0.09,1971,09
9690,VA,VIRGINIA,RUBELLA,4,0.08,1971,09
9691,VT,VERMONT,RUBELLA,2,0.43,1971,09
9692,WA,WASHINGTON,RUBELLA,45,1.31,1971,09
9693,WI,WISCONSIN,RUBELLA,63,1.4,1971,09
9694,WV,WEST VIRGINIA,RUBELLA,13,0.72,1971,09
9695,WY,WYOMING,RUBELLA,0,0.0,1971,09
9696,AK,ALASKA,RUBELLA,0,0.0,1971,10
9697,AL,ALABAMA,RUBELLA,11,0.31,1971,10
9698,AR,ARKANSAS,RUBELLA,188,9.31,1971,10
9699,AZ,ARIZONA,RUBELLA,22,1.1,1971,10
9700,CA,CALIFORNIA,RUBELLA,268,1.3,1971,10
9701,CO,COLORADO,RUBELLA,4,0.17,1971,10
9702,CT,CONNECTICUT,RUBELLA,10,0.33,1971,10
9703,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,10
9704,DE,DELAWARE,RUBELLA,4,0.7,1971,10
9705,FL,FLORIDA,RUBELLA,28,0.37,1971,10
9706,HI,HAWAII,RUBELLA,5,0.6,1971,10
9707,IA,IOWA,RUBELLA,32,1.12,1971,10
9708,ID,IDAHO,RUBELLA,3,0.39,1971,10
9709,IL,ILLINOIS,RUBELLA,31,0.28,1971,10
9710,IN,INDIANA,RUBELLA,59,1.11,1971,10
9711,KS,KANSAS,RUBELLA,0,0.0,1971,10
9712,KY,KENTUCKY,RUBELLA,36,1.08,1971,10
9713,LA,LOUISIANA,RUBELLA,17,0.45,1971,10
9714,MA,MASSACHUSETTS,RUBELLA,42,0.73,1971,10
9715,MD,MARYLAND,RUBELLA,15,0.37,1971,10
9716,ME,MAINE,RUBELLA,6,0.58,1971,10
9717,MI,MICHIGAN,RUBELLA,102,1.13,1971,10
9718,MN,MINNESOTA,RUBELLA,1,0.03,1971,10
9719,MO,MISSOURI,RUBELLA,120,2.52,1971,10
9720,MS,MISSISSIPPI,RUBELLA,0,0.0,1971,10
9721,MT,MONTANA,RUBELLA,13,1.81,1971,10
9722,NC,NORTH CAROLINA,RUBELLA,0,0.0,1971,10
9723,ND,NORTH DAKOTA,RUBELLA,2,0.32,1971,10
9724,NE,NEBRASKA,RUBELLA,1,0.07,1971,10
9725,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1971,10
9726,NJ,NEW JERSEY,RUBELLA,13,0.18,1971,10
9727,NM,NEW MEXICO,RUBELLA,27,2.5,1971,10
9728,NY,NEW YORK,RUBELLA,24,0.13,1971,10
9729,OH,OHIO,RUBELLA,37,0.34,1971,10
9730,OK,OKLAHOMA,RUBELLA,2,0.08,1971,10
9731,OR,OREGON,RUBELLA,33,1.5,1971,10
9732,PA,PENNSYLVANIA,RUBELLA,93,0.78,1971,10
9733,RI,RHODE ISLAND,RUBELLA,1,0.1,1971,10
9734,SC,SOUTH CAROLINA,RUBELLA,5,0.18,1971,10
9735,SD,SOUTH DAKOTA,RUBELLA,4,0.59,1971,10
9736,TN,TENNESSEE,RUBELLA,146,3.57,1971,10
9737,TX,TEXAS,RUBELLA,178,1.51,1971,10
9738,UT,UTAH,RUBELLA,4,0.35,1971,10
9739,VA,VIRGINIA,RUBELLA,32,0.66,1971,10
9740,VT,VERMONT,RUBELLA,1,0.22,1971,10
9741,WA,WASHINGTON,RUBELLA,100,2.9,1971,10
9742,WI,WISCONSIN,RUBELLA,89,1.98,1971,10
9743,WV,WEST VIRGINIA,RUBELLA,5,0.28,1971,10
9744,WY,WYOMING,RUBELLA,0,0.0,1971,10
9745,AK,ALASKA,RUBELLA,1,0.31,1971,11
9746,AL,ALABAMA,RUBELLA,9,0.25,1971,11
9747,AR,ARKANSAS,RUBELLA,1,0.05,1971,11
9748,AZ,ARIZONA,RUBELLA,9,0.45,1971,11
9749,CA,CALIFORNIA,RUBELLA,184,0.89,1971,11
9750,CO,COLORADO,RUBELLA,5,0.21,1971,11
9751,CT,CONNECTICUT,RUBELLA,9,0.29,1971,11
9752,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,11
9753,DE,DELAWARE,RUBELLA,1,0.17,1971,11
9754,FL,FLORIDA,RUBELLA,105,1.4,1971,11
9755,HI,HAWAII,RUBELLA,6,0.72,1971,11
9756,IA,IOWA,RUBELLA,15,0.52,1971,11
9757,ID,IDAHO,RUBELLA,2,0.26,1971,11
9758,IL,ILLINOIS,RUBELLA,29,0.26,1971,11
9759,IN,INDIANA,RUBELLA,42,0.79,1971,11
9760,KS,KANSAS,RUBELLA,60,2.66,1971,11
9761,KY,KENTUCKY,RUBELLA,69,2.07,1971,11
9762,LA,LOUISIANA,RUBELLA,0,0.0,1971,11
9763,MA,MASSACHUSETTS,RUBELLA,25,0.43,1971,11
9764,MD,MARYLAND,RUBELLA,9,0.22,1971,11
9765,ME,MAINE,RUBELLA,11,1.06,1971,11
9766,MI,MICHIGAN,RUBELLA,123,1.36,1971,11
9767,MN,MINNESOTA,RUBELLA,2,0.05,1971,11
9768,MO,MISSOURI,RUBELLA,8,0.17,1971,11
9769,MS,MISSISSIPPI,RUBELLA,3,0.13,1971,11
9770,MT,MONTANA,RUBELLA,20,2.78,1971,11
9771,NC,NORTH CAROLINA,RUBELLA,2,0.04,1971,11
9772,ND,NORTH DAKOTA,RUBELLA,1,0.16,1971,11
9773,NE,NEBRASKA,RUBELLA,5,0.33,1971,11
9774,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1971,11
9775,NJ,NEW JERSEY,RUBELLA,17,0.23,1971,11
9776,NM,NEW MEXICO,RUBELLA,9,0.83,1971,11
9777,NY,NEW YORK,RUBELLA,97,0.53,1971,11
9778,OH,OHIO,RUBELLA,29,0.27,1971,11
9779,OK,OKLAHOMA,RUBELLA,3,0.11,1971,11
9780,OR,OREGON,RUBELLA,24,1.09,1971,11
9781,PA,PENNSYLVANIA,RUBELLA,51,0.43,1971,11
9782,RI,RHODE ISLAND,RUBELLA,1,0.1,1971,11
9783,SC,SOUTH CAROLINA,RUBELLA,8,0.29,1971,11
9784,SD,SOUTH DAKOTA,RUBELLA,1,0.15,1971,11
9785,TN,TENNESSEE,RUBELLA,57,1.39,1971,11
9786,TX,TEXAS,RUBELLA,252,2.14,1971,11
9787,UT,UTAH,RUBELLA,1,0.09,1971,11
9788,VA,VIRGINIA,RUBELLA,0,0.0,1971,11
9789,VT,VERMONT,RUBELLA,4,0.86,1971,11
9790,WA,WASHINGTON,RUBELLA,82,2.38,1971,11
9791,WI,WISCONSIN,RUBELLA,49,1.09,1971,11
9792,WV,WEST VIRGINIA,RUBELLA,24,1.34,1971,11
9793,WY,WYOMING,RUBELLA,1,0.29,1971,11
9794,AK,ALASKA,RUBELLA,0,0.0,1971,12
9795,AL,ALABAMA,RUBELLA,8,0.23,1971,12
9796,AR,ARKANSAS,RUBELLA,24,1.19,1971,12
9797,AZ,ARIZONA,RUBELLA,0,0.0,1971,12
9798,CA,CALIFORNIA,RUBELLA,333,1.62,1971,12
9799,CO,COLORADO,RUBELLA,11,0.46,1971,12
9800,CT,CONNECTICUT,RUBELLA,7,0.23,1971,12
9801,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,12
9802,DE,DELAWARE,RUBELLA,2,0.35,1971,12
9803,FL,FLORIDA,RUBELLA,12,0.16,1971,12
9804,HI,HAWAII,RUBELLA,0,0.0,1971,12
9805,IA,IOWA,RUBELLA,23,0.8,1971,12
9806,ID,IDAHO,RUBELLA,2,0.26,1971,12
9807,IL,ILLINOIS,RUBELLA,132,1.17,1971,12
9808,IN,INDIANA,RUBELLA,65,1.23,1971,12
9809,KS,KANSAS,RUBELLA,14,0.62,1971,12
9810,KY,KENTUCKY,RUBELLA,111,3.33,1971,12
9811,LA,LOUISIANA,RUBELLA,0,0.0,1971,12
9812,MA,MASSACHUSETTS,RUBELLA,30,0.52,1971,12
9813,MD,MARYLAND,RUBELLA,2,0.05,1971,12
9814,ME,MAINE,RUBELLA,16,1.55,1971,12
9815,MI,MICHIGAN,RUBELLA,107,1.19,1971,12
9816,MN,MINNESOTA,RUBELLA,38,0.98,1971,12
9817,MO,MISSOURI,RUBELLA,26,0.55,1971,12
9818,MS,MISSISSIPPI,RUBELLA,1,0.04,1971,12
9819,MT,MONTANA,RUBELLA,7,0.97,1971,12
9820,NC,NORTH CAROLINA,RUBELLA,2,0.04,1971,12
9821,ND,NORTH DAKOTA,RUBELLA,2,0.32,1971,12
9822,NE,NEBRASKA,RUBELLA,4,0.26,1971,12
9823,NH,NEW HAMPSHIRE,RUBELLA,3,0.38,1971,12
9824,NJ,NEW JERSEY,RUBELLA,18,0.25,1971,12
9825,NM,NEW MEXICO,RUBELLA,26,2.41,1971,12
9826,NY,NEW YORK,RUBELLA,45,0.25,1971,12
9827,OH,OHIO,RUBELLA,26,0.24,1971,12
9828,OK,OKLAHOMA,RUBELLA,0,0.0,1971,12
9829,OR,OREGON,RUBELLA,17,0.77,1971,12
9830,PA,PENNSYLVANIA,RUBELLA,23,0.19,1971,12
9831,RI,RHODE ISLAND,RUBELLA,3,0.31,1971,12
9832,SC,SOUTH CAROLINA,RUBELLA,39,1.43,1971,12
9833,SD,SOUTH DAKOTA,RUBELLA,2,0.3,1971,12
9834,TN,TENNESSEE,RUBELLA,100,2.44,1971,12
9835,TX,TEXAS,RUBELLA,276,2.35,1971,12
9836,UT,UTAH,RUBELLA,1,0.09,1971,12
9837,VA,VIRGINIA,RUBELLA,2,0.04,1971,12
9838,VT,VERMONT,RUBELLA,1,0.22,1971,12
9839,WA,WASHINGTON,RUBELLA,40,1.16,1971,12
9840,WI,WISCONSIN,RUBELLA,84,1.87,1971,12
9841,WV,WEST VIRGINIA,RUBELLA,13,0.72,1971,12
9842,WY,WYOMING,RUBELLA,1,0.29,1971,12
9843,AK,ALASKA,RUBELLA,1,0.31,1971,13
9844,AL,ALABAMA,RUBELLA,8,0.23,1971,13
9845,AR,ARKANSAS,RUBELLA,19,0.94,1971,13
9846,AZ,ARIZONA,RUBELLA,4,0.2,1971,13
9847,CA,CALIFORNIA,RUBELLA,378,1.84,1971,13
9848,CO,COLORADO,RUBELLA,4,0.17,1971,13
9849,CT,CONNECTICUT,RUBELLA,28,0.91,1971,13
9850,DC,DISTRICT OF COLUMBIA,RUBELLA,1,0.13,1971,13
9851,DE,DELAWARE,RUBELLA,0,0.0,1971,13
9852,FL,FLORIDA,RUBELLA,7,0.09,1971,13
9853,HI,HAWAII,RUBELLA,4,0.48,1971,13
9854,IA,IOWA,RUBELLA,94,3.29,1971,13
9855,ID,IDAHO,RUBELLA,3,0.39,1971,13
9856,IL,ILLINOIS,RUBELLA,227,2.02,1971,13
9857,IN,INDIANA,RUBELLA,56,1.06,1971,13
9858,KS,KANSAS,RUBELLA,1,0.04,1971,13
9859,KY,KENTUCKY,RUBELLA,27,0.81,1971,13
9860,LA,LOUISIANA,RUBELLA,42,1.12,1971,13
9861,MA,MASSACHUSETTS,RUBELLA,29,0.5,1971,13
9862,MD,MARYLAND,RUBELLA,16,0.39,1971,13
9863,ME,MAINE,RUBELLA,10,0.97,1971,13
9864,MI,MICHIGAN,RUBELLA,140,1.55,1971,13
9865,MN,MINNESOTA,RUBELLA,77,1.99,1971,13
9866,MO,MISSOURI,RUBELLA,154,3.24,1971,13
9867,MS,MISSISSIPPI,RUBELLA,0,0.0,1971,13
9868,MT,MONTANA,RUBELLA,15,2.09,1971,13
9869,NC,NORTH CAROLINA,RUBELLA,1,0.02,1971,13
9870,ND,NORTH DAKOTA,RUBELLA,2,0.32,1971,13
9871,NE,NEBRASKA,RUBELLA,1,0.07,1971,13
9872,NH,NEW HAMPSHIRE,RUBELLA,1,0.13,1971,13
9873,NJ,NEW JERSEY,RUBELLA,17,0.23,1971,13
9874,NM,NEW MEXICO,RUBELLA,13,1.21,1971,13
9875,NV,NEVADA,RUBELLA,1,0.18,1971,13
9876,NY,NEW YORK,RUBELLA,30,0.16,1971,13
9877,OH,OHIO,RUBELLA,43,0.4,1971,13
9878,OK,OKLAHOMA,RUBELLA,0,0.0,1971,13
9879,OR,OREGON,RUBELLA,20,0.91,1971,13
9880,PA,PENNSYLVANIA,RUBELLA,133,1.12,1971,13
9881,RI,RHODE ISLAND,RUBELLA,5,0.51,1971,13
9882,SC,SOUTH CAROLINA,RUBELLA,33,1.21,1971,13
9883,SD,SOUTH DAKOTA,RUBELLA,2,0.3,1971,13
9884,TN,TENNESSEE,RUBELLA,43,1.05,1971,13
9885,TX,TEXAS,RUBELLA,196,1.67,1971,13
9886,UT,UTAH,RUBELLA,1,0.09,1971,13
9887,VA,VIRGINIA,RUBELLA,4,0.08,1971,13
9888,VT,VERMONT,RUBELLA,3,0.65,1971,13
9889,WA,WASHINGTON,RUBELLA,27,0.78,1971,13
9890,WI,WISCONSIN,RUBELLA,58,1.29,1971,13
9891,WV,WEST VIRGINIA,RUBELLA,17,0.95,1971,13
9892,WY,WYOMING,RUBELLA,0,0.0,1971,13
9893,AK,ALASKA,RUBELLA,0,0.0,1971,14
9894,AL,ALABAMA,RUBELLA,0,0.0,1971,14
9895,AR,ARKANSAS,RUBELLA,4,0.2,1971,14
9896,AZ,ARIZONA,RUBELLA,7,0.35,1971,14
9897,CA,CALIFORNIA,RUBELLA,285,1.38,1971,14
9898,CO,COLORADO,RUBELLA,4,0.17,1971,14
9899,CT,CONNECTICUT,RUBELLA,14,0.46,1971,14
9900,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,14
9901,DE,DELAWARE,RUBELLA,1,0.17,1971,14
9902,FL,FLORIDA,RUBELLA,27,0.36,1971,14
9903,IA,IOWA,RUBELLA,35,1.22,1971,14
9904,ID,IDAHO,RUBELLA,1,0.13,1971,14
9905,IL,ILLINOIS,RUBELLA,36,0.32,1971,14
9906,IN,INDIANA,RUBELLA,46,0.87,1971,14
9907,KS,KANSAS,RUBELLA,18,0.8,1971,14
9908,KY,KENTUCKY,RUBELLA,66,1.98,1971,14
9909,LA,LOUISIANA,RUBELLA,0,0.0,1971,14
9910,MA,MASSACHUSETTS,RUBELLA,34,0.59,1971,14
9911,MD,MARYLAND,RUBELLA,2,0.05,1971,14
9912,ME,MAINE,RUBELLA,10,0.97,1971,14
9913,MI,MICHIGAN,RUBELLA,218,2.41,1971,14
9914,MN,MINNESOTA,RUBELLA,20,0.52,1971,14
9915,MO,MISSOURI,RUBELLA,463,9.73,1971,14
9916,MS,MISSISSIPPI,RUBELLA,1,0.04,1971,14
9917,MT,MONTANA,RUBELLA,5,0.7,1971,14
9918,NC,NORTH CAROLINA,RUBELLA,0,0.0,1971,14
9919,ND,NORTH DAKOTA,RUBELLA,7,1.11,1971,14
9920,NE,NEBRASKA,RUBELLA,4,0.26,1971,14
9921,NH,NEW HAMPSHIRE,RUBELLA,1,0.13,1971,14
9922,NJ,NEW JERSEY,RUBELLA,32,0.44,1971,14
9923,NM,NEW MEXICO,RUBELLA,11,1.02,1971,14
9924,NV,NEVADA,RUBELLA,9,1.65,1971,14
9925,NY,NEW YORK,RUBELLA,38,0.21,1971,14
9926,OH,OHIO,RUBELLA,30,0.28,1971,14
9927,OK,OKLAHOMA,RUBELLA,4,0.15,1971,14
9928,OR,OREGON,RUBELLA,33,1.5,1971,14
9929,PA,PENNSYLVANIA,RUBELLA,28,0.24,1971,14
9930,RI,RHODE ISLAND,RUBELLA,7,0.72,1971,14
9931,SC,SOUTH CAROLINA,RUBELLA,40,1.47,1971,14
9932,SD,SOUTH DAKOTA,RUBELLA,3,0.44,1971,14
9933,TN,TENNESSEE,RUBELLA,72,1.76,1971,14
9934,TX,TEXAS,RUBELLA,115,0.98,1971,14
9935,UT,UTAH,RUBELLA,2,0.18,1971,14
9936,VA,VIRGINIA,RUBELLA,2,0.04,1971,14
9937,VT,VERMONT,RUBELLA,13,2.81,1971,14
9938,WA,WASHINGTON,RUBELLA,40,1.16,1971,14
9939,WI,WISCONSIN,RUBELLA,76,1.69,1971,14
9940,WV,WEST VIRGINIA,RUBELLA,5,0.28,1971,14
9941,WY,WYOMING,RUBELLA,0,0.0,1971,14
9942,AK,ALASKA,RUBELLA,0,0.0,1971,15
9943,AL,ALABAMA,RUBELLA,13,0.37,1971,15
9944,AR,ARKANSAS,RUBELLA,12,0.59,1971,15
9945,AZ,ARIZONA,RUBELLA,11,0.55,1971,15
9946,CA,CALIFORNIA,RUBELLA,369,1.79,1971,15
9947,CO,COLORADO,RUBELLA,15,0.62,1971,15
9948,CT,CONNECTICUT,RUBELLA,15,0.49,1971,15
9949,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1971,15
9950,DE,DELAWARE,RUBELLA,13,2.27,1971,15
9951,FL,FLORIDA,RUBELLA,77,1.03,1971,15
9952,HI,HAWAII,RUBELLA,1,0.12,1971,15
9953,IA,IOWA,RUBELLA,19,0.66,1971,15
9954,ID,IDAHO,RUBELLA,3,0.39,1971,15
9955,IL,ILLINOIS,RUBELLA,93,0.83,1971,15
