,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
89,WV,WEST VIRGINIA,RUBELLA,14,0.79,1966,03
90,WY,WYOMING,RUBELLA,1,0.31,1966,03
91,AZ,ARIZONA,RUBELLA,37,2.29,1966,04
92,CA,CALIFORNIA,RUBELLA,73,0.39,1966,04
93,CO,COLORADO,RUBELLA,11,0.55,1966,04
94,CT,CONNECTICUT,RUBELLA,50,1.72,1966,04
95,DE,DELAWARE,RUBELLA,4,0.78,1966,04
96,FL,FLORIDA,RUBELLA,21,0.34,1966,04
97,HI,HAWAII,RUBELLA,1,0.14,1966,04
98,IA,IOWA,RUBELLA,32,1.16,1966,04
99,ID,IDAHO,RUBELLA,1,0.15,1966,04
100,IL,ILLINOIS,RUBELLA,39,0.36,1966,04
101,IN,INDIANA,RUBELLA,15,0.3,1966,04
102,KY,KENTUCKY,RUBELLA,33,1.05,1966,04
103,MA,MASSACHUSETTS,RUBELLA,20,0.36,1966,04
104,MD,MARYLAND,RUBELLA,10,0.27,1966,04
105,ME,MAINE,RUBELLA,11,1.1,1966,04
106,MI,MICHIGAN,RUBELLA,44,0.52,1966,04
107,MN,MINNESOTA,RUBELLA,8,0.22,1966,04
108,MT,MONTANA,RUBELLA,9,1.27,1966,04
109,ND,NORTH DAKOTA,RUBELLA,4,0.62,1966,04
110,NH,NEW HAMPSHIRE,RUBELLA,2,0.29,1966,04
111,NY,NEW YORK,RUBELLA,41,0.23,1966,04
112,OR,OREGON,RUBELLA,30,1.52,1966,04
113,PA,PENNSYLVANIA,RUBELLA,1,0.01,1966,04
114,RI,RHODE ISLAND,RUBELLA,3,0.33,1966,04
115,TN,TENNESSEE,RUBELLA,76,1.99,1966,04
116,TX,TEXAS,RUBELLA,1,0.01,1966,04
117,UT,UTAH,RUBELLA,6,0.59,1966,04
118,VA,VIRGINIA,RUBELLA,5,0.11,1966,04
119,VT,VERMONT,RUBELLA,31,7.51,1966,04
120,WA,WASHINGTON,RUBELLA,89,2.91,1966,04
121,WI,WISCONSIN,RUBELLA,132,3.09,1966,04
122,WV,WEST VIRGINIA,RUBELLA,29,1.63,1966,04
123,AK,ALASKA,RUBELLA,8,2.95,1966,05
124,AZ,ARIZONA,RUBELLA,162,10.04,1966,05
125,CA,CALIFORNIA,RUBELLA,46,0.24,1966,05
126,CO,COLORADO,RUBELLA,9,0.45,1966,05
127,CT,CONNECTICUT,RUBELLA,72,2.48,1966,05
128,FL,FLORIDA,RUBELLA,17,0.28,1966,05
129,HI,HAWAII,RUBELLA,2,0.28,1966,05
130,IA,IOWA,RUBELLA,51,1.85,1966,05
131,IL,ILLINOIS,RUBELLA,39,0.36,1966,05
132,IN,INDIANA,RUBELLA,47,0.94,1966,05
133,KY,KENTUCKY,RUBELLA,15,0.48,1966,05
134,MA,MASSACHUSETTS,RUBELLA,102,1.84,1966,05
135,MD,MARYLAND,RUBELLA,5,0.14,1966,05
136,ME,MAINE,RUBELLA,5,0.5,1966,05
137,MI,MICHIGAN,RUBELLA,38,0.45,1966,05
138,MT,MONTANA,RUBELLA,15,2.12,1966,05
139,ND,NORTH DAKOTA,RUBELLA,10,1.55,1966,05
140,NY,NEW YORK,RUBELLA,43,0.24,1966,05
141,OR,OREGON,RUBELLA,44,2.23,1966,05
142,RI,RHODE ISLAND,RUBELLA,13,1.45,1966,05
143,SC,SOUTH CAROLINA,RUBELLA,1,0.04,1966,05
144,TN,TENNESSEE,RUBELLA,55,1.44,1966,05
145,VA,VIRGINIA,RUBELLA,14,0.31,1966,05
146,VT,VERMONT,RUBELLA,1,0.24,1966,05
147,WA,WASHINGTON,RUBELLA,150,4.91,1966,05
148,WI,WISCONSIN,RUBELLA,149,3.49,1966,05
